# { Experiment : TSP; Iterations : 20000; Runtime (ms) : 7359; }
# { HyperParameters : { Elites: 25.00%; Mutants: 15.00%; Elite Bias: 75.00% } }
# { Population : PopulationCount 96; InitialFitness : 108447.00; FinalFitness : 22878.00 }
# { DecodedChromosome : [ <5>, <34>, <41>, <3>, <22>, <16>, <1>, <9>, <8>, <38>, <31>, <44>, <18>, <7>, <28>, <6>, <37>, <19>, <17>, <27>, <43>, <30>, <36>, <46>, <33>, <15>, <40>, <12>, <20>, <11>, <23>, <47>, <21>, <32>, <24>, <10>, <45>, <35>, <4>, <26>, <42>, <2>, <29>, <14>, <13>, <25>, <39>, <48> ] }
Iteration, Fitness, Time
527, 37147.00, 0
528, 37147.00, 0
529, 37147.00, 0
530, 37147.00, 0
531, 37147.00, 1
532, 37147.00, 0
533, 37147.00, 0
534, 37147.00, 0
535, 37147.00, 0
536, 37147.00, 0
537, 37147.00, 0
538, 37147.00, 0
539, 37147.00, 0
540, 37147.00, 0
541, 37147.00, 0
542, 37147.00, 0
543, 37147.00, 1
544, 37147.00, 0
545, 37147.00, 0
546, 37147.00, 0
547, 37147.00, 0
548, 37147.00, 0
549, 37147.00, 0
550, 37147.00, 1
551, 37147.00, 0
552, 37147.00, 0
553, 37147.00, 0
554, 37147.00, 0
555, 37147.00, 0
556, 37147.00, 0
557, 37147.00, 0
558, 37147.00, 0
559, 37147.00, 0
560, 37147.00, 0
561, 37147.00, 0
562, 37147.00, 2
563, 37147.00, 0
564, 37147.00, 0
565, 37147.00, 0
566, 37147.00, 0
567, 37104.00, 0
568, 37104.00, 0
569, 37104.00, 1
570, 37104.00, 0
571, 37104.00, 0
572, 37104.00, 0
573, 37104.00, 0
574, 37104.00, 0
575, 37104.00, 0
576, 37104.00, 0
577, 37104.00, 0
578, 37104.00, 0
579, 36468.00, 0
580, 36468.00, 0
581, 36468.00, 2
582, 36468.00, 0
583, 36468.00, 0
584, 36422.00, 0
585, 36422.00, 0
586, 36422.00, 0
587, 36422.00, 0
588, 36422.00, 0
589, 36422.00, 1
590, 36422.00, 0
591, 36422.00, 0
592, 36422.00, 0
593, 36422.00, 0
594, 36422.00, 0
595, 36422.00, 0
596, 36422.00, 0
597, 36422.00, 0
598, 36422.00, 0
599, 36422.00, 0
600, 36422.00, 1
601, 36422.00, 0
602, 36422.00, 0
603, 36422.00, 0
604, 36422.00, 0
605, 36422.00, 0
606, 36422.00, 0
607, 36422.00, 1
608, 36422.00, 0
609, 36422.00, 0
610, 36422.00, 0
611, 36422.00, 0
612, 36422.00, 0
613, 36422.00, 0
614, 36422.00, 0
615, 36422.00, 0
616, 35165.00, 0
617, 35165.00, 0
618, 35165.00, 0
619, 35165.00, 1
620, 35165.00, 0
621, 35165.00, 0
622, 35165.00, 0
623, 35010.00, 0
624, 35010.00, 0
625, 34877.00, 0
626, 34877.00, 1
627, 34877.00, 0
628, 34877.00, 0
629, 34877.00, 0
630, 34877.00, 0
631, 34877.00, 0
632, 34877.00, 0
633, 34877.00, 0
634, 34877.00, 0
635, 34877.00, 0
636, 34877.00, 0
637, 34877.00, 0
638, 34877.00, 2
639, 34877.00, 1
640, 34877.00, 0
641, 34877.00, 0
642, 34877.00, 0
643, 34877.00, 0
644, 34877.00, 0
645, 34877.00, 0
646, 34877.00, 1
647, 34877.00, 0
648, 34877.00, 0
649, 34877.00, 0
650, 34877.00, 0
651, 34877.00, 0
652, 34877.00, 0
653, 34877.00, 0
654, 34877.00, 0
655, 34877.00, 0
656, 34877.00, 1
657, 34877.00, 0
658, 34708.00, 0
659, 34708.00, 0
660, 34708.00, 0
661, 34708.00, 0
662, 34708.00, 0
663, 34708.00, 0
664, 34708.00, 0
665, 34708.00, 0
666, 34708.00, 0
667, 34708.00, 0
668, 34708.00, 1
669, 34657.00, 0
670, 34657.00, 0
671, 34657.00, 0
672, 34657.00, 0
673, 34657.00, 0
674, 34657.00, 0
675, 34657.00, 1
676, 34657.00, 0
677, 34657.00, 0
678, 34657.00, 0
679, 34657.00, 0
680, 34657.00, 0
681, 34657.00, 0
682, 34657.00, 0
683, 34657.00, 0
684, 34657.00, 0
685, 34657.00, 0
686, 34657.00, 0
687, 34657.00, 1
688, 34657.00, 0
689, 34639.00, 0
690, 34639.00, 0
691, 34639.00, 0
692, 34630.00, 0
693, 34586.00, 0
694, 34586.00, 1
695, 34586.00, 0
696, 34586.00, 0
697, 34586.00, 0
698, 34490.00, 0
699, 34490.00, 0
700, 34490.00, 0
701, 34490.00, 0
702, 34490.00, 0
703, 34481.00, 0
704, 34481.00, 0
705, 34481.00, 0
706, 34481.00, 1
707, 34481.00, 0
708, 34481.00, 0
709, 34481.00, 0
710, 34481.00, 0
711, 34481.00, 0
712, 34481.00, 0
713, 34481.00, 0
714, 34481.00, 1
715, 34481.00, 0
716, 34481.00, 0
717, 34481.00, 0
718, 34481.00, 0
719, 34481.00, 0
720, 34481.00, 0
721, 34481.00, 1
722, 34481.00, 0
723, 34481.00, 0
724, 34481.00, 0
725, 34481.00, 0
726, 34481.00, 0
727, 34481.00, 0
728, 34481.00, 0
729, 34481.00, 0
730, 34481.00, 0
731, 34481.00, 0
732, 34481.00, 0
733, 34481.00, 1
734, 34481.00, 0
735, 34481.00, 0
736, 34481.00, 0
737, 34481.00, 0
738, 34481.00, 0
739, 34481.00, 0
740, 34481.00, 1
741, 34481.00, 0
742, 34481.00, 0
743, 34481.00, 0
744, 34481.00, 0
745, 34481.00, 0
746, 34481.00, 0
747, 34476.00, 0
748, 34476.00, 0
749, 34476.00, 0
750, 34476.00, 0
751, 34476.00, 0
752, 34476.00, 1
753, 34476.00, 0
754, 34476.00, 0
755, 34476.00, 0
756, 34476.00, 0
757, 34476.00, 0
758, 34476.00, 0
759, 34476.00, 1
760, 34476.00, 0
761, 34476.00, 0
762, 34476.00, 0
763, 34476.00, 0
764, 34476.00, 0
765, 34476.00, 0
766, 34476.00, 0
767, 34476.00, 0
768, 34476.00, 0
769, 34476.00, 0
770, 34476.00, 0
771, 34476.00, 1
772, 34476.00, 0
773, 34476.00, 0
774, 34476.00, 0
775, 34476.00, 0
776, 34476.00, 0
777, 34476.00, 0
778, 34476.00, 1
779, 34476.00, 0
780, 34476.00, 0
781, 34476.00, 0
782, 34476.00, 0
783, 34476.00, 0
784, 34476.00, 0
785, 34476.00, 0
786, 34476.00, 0
787, 34476.00, 0
788, 34476.00, 0
789, 34476.00, 0
790, 34476.00, 1
791, 34476.00, 0
792, 34476.00, 0
793, 34476.00, 0
794, 34476.00, 0
795, 34476.00, 0
796, 34476.00, 0
797, 34476.00, 0
798, 34476.00, 1
799, 34476.00, 0
800, 34476.00, 0
801, 34476.00, 0
802, 34476.00, 0
803, 34476.00, 0
804, 34472.00, 0
805, 34472.00, 0
806, 34472.00, 0
807, 34472.00, 0
808, 34472.00, 0
809, 34472.00, 1
810, 34472.00, 0
811, 34472.00, 0
812, 34308.00, 0
813, 34308.00, 0
814, 34308.00, 0
815, 34308.00, 0
816, 34308.00, 1
817, 34308.00, 0
818, 34308.00, 0
819, 34308.00, 0
820, 34308.00, 0
821, 34308.00, 0
822, 34308.00, 0
823, 34308.00, 0
824, 34308.00, 0
825, 34308.00, 0
826, 34308.00, 0
827, 34308.00, 0
828, 34308.00, 1
829, 34308.00, 0
830, 34308.00, 0
831, 34308.00, 0
832, 34308.00, 0
833, 34308.00, 0
834, 34308.00, 0
835, 34308.00, 1
836, 34308.00, 0
837, 34244.00, 0
838, 34244.00, 0
839, 33961.00, 0
840, 33961.00, 0
841, 33961.00, 0
842, 33961.00, 0
843, 33961.00, 0
844, 33961.00, 0
845, 33961.00, 0
846, 33961.00, 0
847, 33961.00, 1
848, 33961.00, 0
849, 33961.00, 0
850, 33961.00, 0
851, 33961.00, 0
852, 33961.00, 0
853, 33961.00, 0
854, 33961.00, 1
855, 33961.00, 0
856, 33961.00, 0
857, 33961.00, 0
858, 33961.00, 0
859, 33961.00, 0
860, 33961.00, 0
861, 33961.00, 0
862, 33961.00, 0
863, 33961.00, 0
864, 33961.00, 0
865, 33961.00, 0
866, 33961.00, 1
867, 33961.00, 0
868, 33961.00, 0
869, 33961.00, 0
870, 33961.00, 0
871, 33961.00, 0
872, 33961.00, 0
873, 33961.00, 1
874, 33961.00, 0
875, 33961.00, 0
876, 33961.00, 0
877, 33961.00, 0
878, 33961.00, 0
879, 33961.00, 0
880, 33961.00, 0
881, 33961.00, 0
882, 33961.00, 0
883, 33961.00, 0
884, 33961.00, 0
885, 33961.00, 1
886, 33961.00, 0
887, 33961.00, 0
888, 33680.00, 0
889, 33680.00, 0
890, 33680.00, 0
891, 33680.00, 0
892, 33680.00, 0
893, 33680.00, 0
894, 33680.00, 0
895, 33680.00, 0
896, 33680.00, 0
897, 33680.00, 0
898, 33680.00, 0
899, 33680.00, 0
900, 33680.00, 0
901, 33680.00, 0
902, 33680.00, 0
903, 33680.00, 0
904, 33680.00, 0
905, 33577.00, 0
906, 33577.00, 0
907, 33577.00, 0
908, 33577.00, 0
909, 33577.00, 0
910, 33577.00, 0
911, 33577.00, 0
912, 33577.00, 0
913, 33577.00, 0
914, 33577.00, 0
915, 33577.00, 0
916, 33577.00, 0
917, 33577.00, 0
918, 33577.00, 0
919, 33577.00, 0
920, 33577.00, 0
921, 33479.00, 0
922, 33479.00, 0
923, 33479.00, 0
924, 33479.00, 0
925, 33479.00, 0
926, 33479.00, 0
927, 33479.00, 0
928, 33479.00, 0
929, 33479.00, 0
930, 33479.00, 0
931, 33479.00, 1
932, 33479.00, 0
933, 33479.00, 0
934, 33479.00, 0
935, 33479.00, 0
936, 33479.00, 0
937, 33479.00, 0
938, 33479.00, 1
939, 33479.00, 0
940, 33429.00, 0
